10m_sample,Conductivity,Debit Riviere,Niveau Riviere,O2,Pression EF,Pression Pompe,Probe Tank Temperature,Pump Flow,Riverlab,Turbidity,day_sample,hour_sample,pH,timedate
False,596.0,NULL,NULL,8.5,0.657,1.804,23.5,1001,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:38:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.682,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:39:00 GMT"
True,596.0,NULL,NULL,8.5,0.656,1.901,23.5,1009,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:40:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.911,23.5,999,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:42:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.863,23.5,1007,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:43:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.724,23.5,996,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:44:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.78,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:45:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.923,23.5,1007,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:46:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.707,23.5,1010,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:47:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.684,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:48:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.686,23.5,1012,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:49:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,1.883,23.5,1004,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:50:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.924,23.5,976,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:51:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.862,23.5,1007,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:52:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.638,23.5,1019,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:53:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.705,23.5,1009,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:54:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,2.015,23.5,967,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:55:00 GMT"
